Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,451
design__inferred_latch__count,0
design__instance__count,320977
design__instance__area,4.78036E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,5866
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.02721848152577877
power__switching__total,0.013222473673522472
power__leakage__total,0.0000025023164198501036
power__total,0.040443457663059235
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-3.705205136469173
clock__skew__worst_setup__corner:nom_tt_025C_1v80,1.9919568780483257
timing__hold__ws__corner:nom_tt_025C_1v80,2.6336089610099656
timing__setup__ws__corner:nom_tt_025C_1v80,4.13126966551977
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,2.633609
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.196791
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1237
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,5866
design__max_cap_violation__count__corner:nom_ss_100C_1v60,80
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-4.87437215498403
clock__skew__worst_setup__corner:nom_ss_100C_1v60,3.271512930934467
timing__hold__ws__corner:nom_ss_100C_1v60,5.204546718685798
timing__setup__ws__corner:nom_ss_100C_1v60,-7.0506305012246315
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-2770.1758755413307
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-7.0506305012246315
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,5.532454
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,1197
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-7.050631
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,907
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,5866
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-3.1804000333511007
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,1.4189601006927903
timing__hold__ws__corner:nom_ff_n40C_1v95,1.6510810963541496
timing__setup__ws__corner:nom_ff_n40C_1v95,6.620601143596361
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,1.651081
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,2004
design__max_fanout_violation__count,5866
design__max_cap_violation__count,130
clock__skew__worst_hold,-3.0875329833392158
clock__skew__worst_setup,1.328058589579291
timing__hold__ws,1.6503190392484945
timing__setup__ws,-7.990277110564561
timing__hold__tns,0.0
timing__setup__tns,-3470.2423890046175
timing__hold__wns,0
timing__setup__wns,-7.990277110564561
timing__hold_vio__count,0
timing__hold_r2r__ws,1.650319
timing__hold_r2r_vio__count,0
timing__setup_vio__count,3678
timing__setup_r2r__ws,-7.990277
timing__setup_r2r_vio__count,2696
design__die__bbox,0.0 0.0 2920.0 3520.0
design__core__bbox,5.52 10.88 2914.1 3508.8
design__io,645
design__die__area,1.02784E+7
design__core__area,1.0174E+7
design__instance__count__stdcell,320976
design__instance__area__stdcell,1.51426E+6
design__instance__count__macros,1
design__instance__area__macros,3.2661E+6
design__instance__utilization,0.469861
design__instance__utilization__stdcell,0.219208
design__instance__count__class:macro,1
design__instance__count__class:buffer,1
design__instance__count__class:inverter,1190
design__instance__count__class:sequential_cell,6232
design__instance__count__class:multi_input_combinational_cell,59571
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,532268
design__instance__count__class:tap_cell,97967
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vdda1,0
design__power_grid_violation__count__net:vccd2,0
design__power_grid_violation__count__net:vdda2,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count__net:vssa1,0
design__power_grid_violation__count__net:vssd2,0
design__power_grid_violation__count__net:vssa2,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,7.97982E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,49877
design__instance__count__class:clock_buffer,3191
design__instance__count__class:clock_inverter,640
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,37695
antenna__violating__nets,113
antenna__violating__pins,114
route__antenna_violation__count,113
design__instance__count__class:antenna_cell,102307
antenna_diodes_count,1405
route__net,119574
route__net__special,8
route__drc_errors__iter:1,37271
route__wirelength__iter:1,8500896
route__drc_errors__iter:2,13575
route__wirelength__iter:2,8480985
route__drc_errors__iter:3,10224
route__wirelength__iter:3,8475327
route__drc_errors__iter:4,417
route__wirelength__iter:4,8475551
route__drc_errors__iter:5,6
route__wirelength__iter:5,8475479
route__drc_errors__iter:6,3
route__wirelength__iter:6,8475479
route__drc_errors__iter:7,0
route__wirelength__iter:7,8475511
route__drc_errors,0
route__wirelength,8475511
route__vias,935920
route__vias__singlecut,935920
route__vias__multicut,0
design__disconnected_pin__count,205
design__critical_disconnected_pin__count,0
route__wirelength__max,3060.1
timing__unannotated_net__count__corner:nom_tt_025C_1v80,2074
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,2074
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,2074
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,5866
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
